Instance; Replication; Seed; SI    ; SF    ; Time_s
15_hes  ;           1;   42; 359.0 ; 181.0 ; 0.3339
15_hes  ;           2;  101; 1024.0; 423.0 ; 0.4001
11_wee  ;           2;  101; 263.0 ; 114.0 ; 13.3440
13_ton  ;           4;  303; 1204.0; 300.0 ; 5.7239
15_ros  ;           2;  101; 125.0 ; 41.0  ; 0.1574
15_ros  ;           4;  303; 54.0  ; 26.0  ; 0.1788
15_hes  ;           3;  202; 1024.0; 181.0 ; 0.9589
13_wee  ;           3;  202; 358.0 ; 124.0 ; 6.4817
13_wee  ;           1;   42; 238.0 ; 87.0  ; 6.3808
14_ton  ;           1;   42; 527.0 ; 168.0 ; 3.1736
15_ros  ;           1;   42; 54.0  ; 26.0  ; 0.4365
15_hes  ;           5;  404; 359.0 ; 162.0 ; 1.0589
15_ros  ;           3;  202; 125.0 ; 41.0  ; 0.2742
15_ros  ;           5;  404; 54.0  ; 41.0  ; 0.1461
14_ton  ;           2;  101; 1223.0; 560.0 ; 3.7134
15_ton  ;           2;  101; 662.0 ; 307.0 ; 1.8769
14_wee  ;           5;  404; 286.0 ; 110.0 ; 4.5356
14_ton  ;           3;  202; 2587.0; 1587.0; 5.5343
13_wee  ;           4;  303; 209.0 ; 100.0 ; 9.2587
16_hes  ;           1;   42; 257.0 ; 211.0 ; 0.7805
15_ton  ;           5;  404; 584.0 ; 356.0 ; 2.2152
16_hes  ;           2;  101; 1024.0; 507.0 ; 0.6426
14_ton  ;           5;  404; 1953.0; 455.0 ; 5.4288
16_hes  ;           4;  303; 337.0 ; 163.0 ; 0.3319
14_wee  ;           3;  202; 294.0 ; 146.0 ; 6.9023
16_hes  ;           3;  202; 1024.0; 225.0 ; 0.7602
13_wee  ;           5;  404; 240.0 ; 88.0  ; 11.4019
16_ros  ;           3;  202; 125.0 ; 34.0  ; 0.3033
13_wee  ;           2;  101; 215.0 ; 106.0 ; 12.0263
16_ros  ;           2;  101; 125.0 ; 34.0  ; 0.6223
16_ros  ;           5;  404; 92.0  ; 92.0  ; 0.4000
16_ros  ;           4;  303; 109.0 ; 92.0  ; 0.2684
16_ros  ;           1;   42; 109.0 ; 92.0  ; 0.7340
14_ton  ;           4;  303; 329.0 ; 222.0 ; 7.7943
16_hes  ;           5;  404; 257.0 ; 133.0 ; 1.3025
15_wee  ;           3;  202; 1187.0; 276.0 ; 4.7935
15_wee  ;           5;  404; 431.0 ; 77.0  ; 5.7176
15_ton  ;           1;   42; 606.0 ; 258.0 ; 5.3440
15_ton  ;           3;  202; 2420.0; 1297.0; 6.1832
17_hes  ;           3;  202; 1024.0; 186.0 ; 0.4179
17_hes  ;           2;  101; 1024.0; 324.0 ; 0.2743
17_ros  ;           1;   42; 92.0  ; 79.0  ; 0.0965
15_ton  ;           4;  303; 466.0 ; 248.0 ; 7.1180
17_hes  ;           4;  303; 357.0 ; 186.0 ; 0.4451
17_ros  ;           2;  101; 125.0 ; 48.0  ; 0.1027
17_ros  ;           4;  303; 92.0  ; 92.0  ; 0.0833
17_hes  ;           1;   42; 259.0 ; 148.0 ; 1.0392
16_ton  ;           2;  101; 750.0 ; 272.0 ; 3.2368
14_wee  ;           2;  101; 383.0 ; 155.0 ; 10.4939
14_wee  ;           1;   42; 253.0 ; 139.0 ; 11.2017
17_hes  ;           5;  404; 250.0 ; 165.0 ; 0.4846
14_wee  ;           4;  303; 473.0 ; 231.0 ; 10.7165
17_ros  ;           5;  404; 92.0  ; 79.0  ; 0.2935
17_ros  ;           3;  202; 125.0 ; 48.0  ; 0.4135
15_wee  ;           4;  303; 249.0 ; 117.0 ; 8.7608
18_hes  ;           1;   42; 353.0 ; 176.0 ; 0.3945
17_ton  ;           2;  101; 2590.0; 1652.0; 2.8666
16_ton  ;           1;   42; 593.0 ; 259.0 ; 6.1767
16_wee  ;           5;  404; 155.0 ; 80.0  ; 5.6067
15_wee  ;           1;   42; 585.0 ; 150.0 ; 10.6157
16_wee  ;           1;   42; 262.0 ; 91.0  ; 5.3376
16_ton  ;           3;  202; 2783.0; 973.0 ; 4.9109
18_hes  ;           4;  303; 298.0 ; 151.0 ; 0.3966
18_ros  ;           1;   42; 56.0  ; 26.0  ; 0.1607
18_hes  ;           3;  202; 1024.0; 195.0 ; 0.3290
16_ton  ;           4;  303; 582.0 ; 197.0 ; 6.6962
18_ros  ;           2;  101; 125.0 ; 41.0  ; 0.1171
18_hes  ;           5;  404; 353.0 ; 141.0 ; 0.4458
15_wee  ;           2;  101; 214.0 ; 125.0 ; 12.5032
16_ton  ;           5;  404; 1178.0; 145.0 ; 6.6715
18_hes  ;           2;  101; 1024.0; 142.0 ; 0.9279
18_ros  ;           3;  202; 125.0 ; 75.0  ; 0.3100
18_ros  ;           5;  404; 56.0  ; 38.0  ; 0.1504
17_ton  ;           1;   42; 1343.0; 1015.0; 5.4817
17_ton  ;           5;  404; 1343.0; 783.0 ; 5.4246
