instancia,num,valor_otimo,seed_42,seed_101,seed_202,seed_303,seed_404,melhor_valor,erro
roszieg,29,27.0,27.0,52.0,58.0,27.0,30.0,27.0,0.0
tonge,29,182.0,421.0,412.0,901.0,666.0,600.0,412.0,230.0
wee-mag,29,43.0,148.0,269.0,215.0,230.0,159.0,148.0,105.0
heskia,2,95.0,124.0,124.0,115.0,114.0,107.0,107.0,12.0
roszieg,2,22.0,23.0,65.0,65.0,23.0,28.0,23.0,1.0
tonge,2,87.0,236.0,479.0,328.0,362.0,242.0,236.0,149.0
wee-mag,2,26.0,103.0,146.0,204.0,181.0,151.0,103.0,77.0
heskia,30,165.0,270.0,186.0,202.0,200.0,267.0,186.0,21.0
roszieg,30,33.0,41.0,61.0,50.0,33.0,50.0,33.0,0.0
tonge,30,153.0,860.0,456.0,775.0,912.0,483.0,456.0,303.0
wee-mag,30,48.0,211.0,227.0,197.0,263.0,349.0,197.0,149.0
heskia,31,204.0,226.0,206.0,206.0,231.0,248.0,206.0,2.0
roszieg,31,31.0,31.0,55.0,65.0,44.0,31.0,31.0,0.0
tonge,31,167.0,1014.0,280.0,1013.0,516.0,293.0,280.0,113.0
wee-mag,31,47.0,170.0,154.0,150.0,217.0,184.0,150.0,103.0
heskia,32,147.0,165.0,189.0,168.0,165.0,176.0,165.0,18.0
roszieg,32,29.0,31.0,39.0,38.0,31.0,50.0,31.0,2.0
tonge,32,177.0,421.0,289.0,629.0,381.0,689.0,289.0,112.0
wee-mag,32,44.0,162.0,142.0,223.0,181.0,223.0,142.0,98.0
heskia,33,211.0,263.0,226.0,258.0,230.0,247.0,226.0,15.0
roszieg,33,32.0,44.0,48.0,48.0,40.0,54.0,40.0,8.0
tonge,33,157.0,437.0,928.0,1004.0,543.0,605.0,437.0,280.0
wee-mag,33,47.0,136.0,217.0,340.0,341.0,214.0,136.0,89.0
heskia,34,127.0,306.0,140.0,138.0,171.0,207.0,138.0,11.0
roszieg,34,27.0,37.0,50.0,47.0,38.0,32.0,32.0,5.0
tonge,34,172.0,424.0,399.0,1167.0,464.0,840.0,399.0,227.0
wee-mag,34,51.0,165.0,157.0,236.0,190.0,220.0,157.0,106.0
heskia,35,181.0,352.0,229.0,201.0,263.0,245.0,201.0,20.0
roszieg,35,27.0,48.0,90.0,54.0,30.0,41.0,30.0,3.0
tonge,35,146.0,590.0,421.0,1175.0,808.0,276.0,276.0,130.0
wee-mag,35,42.0,189.0,144.0,149.0,181.0,209.0,144.0,102.0
heskia,36,179.0,203.0,194.0,190.0,179.0,179.0,179.0,0.0
roszieg,36,29.0,40.0,62.0,62.0,37.0,40.0,37.0,8.0
tonge,36,163.0,683.0,370.0,752.0,335.0,1169.0,335.0,172.0
wee-mag,36,46.0,164.0,172.0,156.0,229.0,219.0,156.0,110.0
heskia,37,191.0,255.0,216.0,321.0,242.0,351.0,216.0,25.0
roszieg,37,27.0,40.0,56.0,56.0,40.0,55.0,40.0,13.0
tonge,37,166.0,787.0,650.0,735.0,539.0,414.0,414.0,248.0
wee-mag,37,38.0,161.0,121.0,179.0,264.0,140.0,121.0,83.0
heskia,38,152.0,220.0,162.0,249.0,202.0,249.0,162.0,10.0
roszieg,38,28.0,43.0,40.0,49.0,43.0,36.0,36.0,8.0
tonge,38,152.0,958.0,575.0,669.0,609.0,524.0,524.0,372.0
wee-mag,38,42.0,375.0,182.0,192.0,221.0,274.0,182.0,140.0
heskia,39,167.0,215.0,198.0,175.0,175.0,193.0,175.0,8.0
roszieg,39,21.0,24.0,65.0,68.0,27.0,66.0,24.0,3.0
tonge,39,180.0,485.0,564.0,1442.0,519.0,871.0,485.0,305.0
wee-mag,39,45.0,224.0,171.0,148.0,329.0,275.0,148.0,103.0
heskia,3,102.0,113.0,117.0,129.0,124.0,139.0,113.0,11.0
roszieg,3,18.0,24.0,28.0,30.0,19.0,20.0,19.0,1.0
tonge,3,100.0,189.0,305.0,325.0,304.0,161.0,161.0,61.0
wee-mag,3,25.0,145.0,136.0,138.0,93.0,138.0,93.0,68.0
heskia,40,153.0,198.0,282.0,189.0,174.0,197.0,174.0,21.0
roszieg,40,29.0,61.0,47.0,61.0,35.0,47.0,35.0,6.0
tonge,40,159.0,440.0,569.0,654.0,501.0,483.0,440.0,281.0
wee-mag,40,39.0,160.0,164.0,226.0,321.0,159.0,159.0,120.0
heskia,41,35.0,91.0,52.0,91.0,47.0,62.0,47.0,12.0
roszieg,41,10.0,20.0,15.0,31.0,22.0,15.0,15.0,5.0
tonge,41,28.0,215.0,155.0,435.0,228.0,182.0,155.0,127.0
wee-mag,41,8.0,91.0,109.0,191.0,113.0,115.0,91.0,83.0
heskia,42,40.0,81.0,99.0,62.0,117.0,132.0,62.0,22.0
roszieg,42,10.0,28.0,26.0,15.0,16.0,17.0,15.0,5.0
tonge,42,32.0,534.0,966.0,101.0,476.0,217.0,101.0,69.0
wee-mag,42,8.0,158.0,181.0,166.0,146.0,127.0,127.0,119.0
heskia,43,35.0,64.0,73.0,64.0,64.0,70.0,64.0,29.0
roszieg,43,10.0,16.0,18.0,17.0,26.0,13.0,13.0,3.0
tonge,43,31.0,218.0,1163.0,367.0,229.0,342.0,218.0,187.0
wee-mag,43,10.0,102.0,120.0,142.0,132.0,114.0,102.0,92.0
heskia,44,30.0,75.0,43.0,55.0,53.0,53.0,43.0,13.0
roszieg,44,9.0,19.0,13.0,18.0,12.0,13.0,12.0,3.0
tonge,44,33.0,194.0,254.0,214.0,306.0,110.0,110.0,77.0
wee-mag,44,9.0,120.0,98.0,139.0,199.0,166.0,98.0,89.0
heskia,45,40.0,91.0,53.0,89.0,71.0,79.0,53.0,13.0
roszieg,45,12.0,29.0,23.0,14.0,19.0,18.0,14.0,2.0
tonge,45,31.0,174.0,295.0,205.0,244.0,266.0,174.0,143.0
wee-mag,45,8.0,236.0,107.0,85.0,113.0,173.0,85.0,77.0
heskia,46,29.0,50.0,59.0,80.0,59.0,164.0,50.0,21.0
roszieg,46,9.0,14.0,18.0,13.0,12.0,25.0,12.0,3.0
tonge,46,35.0,416.0,186.0,358.0,332.0,406.0,186.0,151.0
wee-mag,46,9.0,128.0,96.0,113.0,146.0,181.0,96.0,87.0
heskia,47,25.0,116.0,72.0,68.0,47.0,75.0,47.0,22.0
roszieg,47,10.0,18.0,22.0,16.0,13.0,19.0,13.0,3.0
tonge,47,30.0,230.0,320.0,375.0,968.0,424.0,230.0,200.0
wee-mag,47,9.0,172.0,98.0,128.0,145.0,160.0,98.0,89.0
heskia,48,43.0,91.0,127.0,66.0,149.0,72.0,66.0,23.0
roszieg,48,8.0,16.0,27.0,26.0,15.0,32.0,15.0,7.0
tonge,48,32.0,389.0,132.0,126.0,268.0,427.0,126.0,94.0
wee-mag,48,10.0,118.0,111.0,98.0,90.0,121.0,90.0,80.0
heskia,49,38.0,66.0,72.0,43.0,69.0,84.0,43.0,5.0
roszieg,49,10.0,17.0,21.0,22.0,12.0,18.0,12.0,2.0
tonge,49,33.0,164.0,368.0,149.0,239.0,279.0,149.0,116.0
wee-mag,49,7.0,110.0,120.0,267.0,126.0,156.0,110.0,103.0
heskia,4,103.0,144.0,158.0,158.0,110.0,158.0,110.0,7.0
roszieg,4,18.0,30.0,48.0,39.0,30.0,31.0,30.0,12.0
tonge,4,105.0,495.0,294.0,385.0,411.0,382.0,294.0,189.0
wee-mag,4,29.0,203.0,134.0,94.0,109.0,90.0,90.0,61.0
heskia,50,34.0,49.0,49.0,48.0,96.0,151.0,48.0,14.0
roszieg,50,9.0,17.0,17.0,19.0,14.0,17.0,14.0,5.0
tonge,50,31.0,256.0,199.0,220.0,215.0,181.0,181.0,150.0
wee-mag,50,8.0,143.0,99.0,182.0,141.0,77.0,77.0,69.0
heskia,51,51.0,65.0,82.0,81.0,110.0,71.0,65.0,14.0
roszieg,51,11.0,18.0,21.0,19.0,15.0,12.0,12.0,1.0
tonge,51,35.0,152.0,201.0,176.0,1426.0,237.0,152.0,117.0
wee-mag,51,10.0,104.0,77.0,148.0,91.0,155.0,77.0,67.0
heskia,52,50.0,150.0,69.0,92.0,71.0,123.0,69.0,19.0
roszieg,52,10.0,53.0,12.0,25.0,13.0,25.0,12.0,2.0
tonge,52,43.0,233.0,192.0,125.0,438.0,561.0,125.0,82.0
wee-mag,52,9.0,82.0,98.0,99.0,125.0,114.0,82.0,73.0
heskia,53,52.0,93.0,133.0,125.0,68.0,63.0,63.0,11.0
roszieg,53,10.0,32.0,49.0,42.0,12.0,45.0,12.0,2.0
tonge,53,32.0,164.0,145.0,143.0,507.0,131.0,131.0,99.0
wee-mag,53,9.0,125.0,112.0,118.0,90.0,54.0,54.0,45.0
heskia,54,33.0,50.0,79.0,55.0,74.0,60.0,50.0,17.0
roszieg,54,10.0,13.0,18.0,19.0,23.0,17.0,13.0,3.0
tonge,54,36.0,115.0,178.0,243.0,496.0,164.0,115.0,79.0
wee-mag,54,9.0,133.0,84.0,76.0,91.0,90.0,76.0,67.0
heskia,55,38.0,46.0,96.0,70.0,66.0,66.0,46.0,8.0
roszieg,55,11.0,18.0,23.0,16.0,18.0,18.0,16.0,5.0
tonge,55,39.0,147.0,164.0,150.0,265.0,316.0,147.0,108.0
wee-mag,55,11.0,98.0,96.0,88.0,172.0,99.0,88.0,77.0
heskia,56,34.0,55.0,55.0,72.0,34.0,43.0,34.0,0.0
roszieg,56,13.0,26.0,32.0,20.0,21.0,62.0,20.0,7.0
tonge,56,36.0,237.0,129.0,722.0,440.0,140.0,129.0,93.0
wee-mag,56,12.0,141.0,100.0,102.0,175.0,80.0,80.0,68.0
heskia,57,42.0,64.0,66.0,52.0,83.0,64.0,52.0,10.0
roszieg,57,13.0,36.0,16.0,15.0,38.0,38.0,15.0,2.0
tonge,57,38.0,250.0,131.0,1010.0,486.0,243.0,131.0,93.0
wee-mag,57,11.0,92.0,76.0,108.0,155.0,90.0,76.0,65.0
heskia,58,39.0,135.0,74.0,54.0,74.0,165.0,54.0,15.0
roszieg,58,11.0,14.0,16.0,12.0,13.0,22.0,12.0,1.0
tonge,58,39.0,285.0,198.0,197.0,277.0,189.0,189.0,150.0
wee-mag,58,11.0,104.0,76.0,63.0,148.0,128.0,63.0,52.0
heskia,59,59.0,102.0,113.0,65.0,91.0,119.0,65.0,6.0
roszieg,59,12.0,20.0,19.0,81.0,21.0,21.0,19.0,7.0
tonge,59,35.0,130.0,151.0,262.0,481.0,77.0,77.0,42.0
wee-mag,59,11.0,111.0,115.0,159.0,102.0,69.0,69.0,58.0
heskia,5,92.0,92.0,110.0,103.0,157.0,145.0,92.0,0.0
roszieg,5,17.0,21.0,32.0,33.0,41.0,19.0,19.0,2.0
tonge,5,89.0,182.0,180.0,349.0,150.0,238.0,150.0,61.0
wee-mag,5,29.0,151.0,124.0,128.0,128.0,97.0,97.0,68.0
heskia,60,28.0,45.0,102.0,33.0,104.0,32.0,32.0,4.0
roszieg,60,9.0,24.0,15.0,16.0,15.0,12.0,12.0,3.0
tonge,60,36.0,182.0,168.0,175.0,1144.0,260.0,168.0,132.0
wee-mag,60,11.0,102.0,91.0,101.0,116.0,106.0,91.0,80.0
heskia,61,66.0,129.0,141.0,236.0,150.0,236.0,129.0,63.0
roszieg,61,16.0,20.0,41.0,39.0,48.0,48.0,20.0,4.0
tonge,61,61.0,514.0,326.0,318.0,339.0,398.0,318.0,257.0
wee-mag,61,15.0,177.0,213.0,256.0,191.0,211.0,177.0,162.0
heskia,62,56.0,106.0,91.0,103.0,101.0,101.0,91.0,35.0
roszieg,62,13.0,25.0,23.0,35.0,23.0,35.0,23.0,10.0
tonge,62,66.0,612.0,603.0,658.0,878.0,311.0,311.0,245.0
wee-mag,62,18.0,174.0,201.0,206.0,139.0,158.0,139.0,121.0
heskia,63,69.0,187.0,82.0,79.0,103.0,129.0,79.0,10.0
roszieg,63,19.0,57.0,57.0,34.0,31.0,30.0,30.0,11.0
tonge,63,61.0,903.0,875.0,721.0,1387.0,403.0,403.0,342.0
wee-mag,63,17.0,402.0,129.0,275.0,162.0,167.0,129.0,112.0
heskia,64,126.0,126.0,126.0,208.0,126.0,149.0,126.0,0.0
roszieg,64,16.0,32.0,29.0,29.0,30.0,25.0,25.0,9.0
tonge,64,97.0,558.0,441.0,532.0,474.0,493.0,441.0,344.0
wee-mag,64,16.0,338.0,234.0,197.0,222.0,221.0,197.0,181.0
heskia,65,107.0,124.0,127.0,107.0,133.0,107.0,107.0,0.0
roszieg,65,14.0,33.0,39.0,39.0,19.0,44.0,19.0,5.0
tonge,65,60.0,353.0,416.0,579.0,960.0,724.0,353.0,293.0
